Pop,108,108,108,108,108,108,108,108,108,108,108,G4,G4,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,119,119,119,119,119,119,119,119,119,119,119,119,119,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,124,124,124,124,124,124,124,124,124,124,124,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128
BTH,0.07143,0,0.1,0,0.12857,0.61429,0.02857,0.05714,0,0,0,0.625,0.375,0,0.11905,0.30952,0.11905,0,0,0,0,0,0,0.04762,0,0.02381,0.11905,0.19048,0,0,0,0,0.07143,0,0,0,0,0.04688,0,0,0.48438,0.10938,0.21875,0,0,0,0,0.14063,0,0.45,0,0,0.05,0,0.025,0.075,0.35,0,0.05,0,0,0,0,0,0,0,0,0.02857,0.01429,0.05714,0.08571,0.71429,0.1,0,0,0,0,0,0,0,0,0.41667,0,0,0,0,0.16667,0.04167,0.04167,0,0,0,0.08333,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333,0,0,0,0,0,0,0,0,0,0.04167,0,0,0,0,0,0,0,0.07692,0.23077,0.11538,0.03846,0.42308,0.07692,0,0,0,0,0.03846,0,0,0.125,0,0,0.3125,0,0,0,0.0625,0,0,0.1875,0.125,0,0.1875,0,0,0,0,0,0,0,0,0,0
CAT,0.5,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR,0.075,0,0.375,0,0.45,0,0,0,0.075,0.025,0,0.525,0.475,0,0,0.5,0.1,0,0,0,0,0,0,0.025,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0.425,0,0.5,0,0.075,0,0,0,0,0.525,0,0,0,0,0,0,0.1,0,0.375,0,0,0,0,0,0,0,0,0.025,0,0.1,0.4,0.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05263,0,0,0.05263,0,0,0.39474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39474,0.10526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0.025,0,0.575,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,0,0,0.71875,0,0.28125,0,0,0,0,0,0,1,0,0,0.47778,0.44444,0,0,0,0,0,0,0,0.01111,0,0,0.01111,0.05556,0,0,0,0,0,0,0,0,0,0,0,0,0.01064,0,0.23404,0,0.47872,0,0,0.2766,0,0.05208,0,0,0.01042,0,0,0.1875,0.01042,0,0,0,0.73958,0,0,0,0,0,0,0.02083,0,0.03125,0.75,0.19792,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72826,0,0.02174,0.02174,0.22826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21875,0,0,0.04167,0,0.73958,0,0,0,0,0,0,0,0,0,0,0,0,0
ER2,0.5,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0.55,0.05,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.41667,0.08333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUT,0.95455,0,0.01515,0.0303,0,0,0,0,0,0,0,0.63636,0.36364,0,0.14815,0.35185,0.09259,0,0,0,0,0,0,0.05556,0,0,0.09259,0.07407,0.01852,0.16667,0,0,0,0,0,0,0,0.13333,0,0,0.01667,0.46667,0.23333,0.06667,0.06667,0,0,0,0.01667,0,0,0,0.05882,0,0,0,0,0.35294,0,0.44118,0.14706,0,0,0,0,0,0,0,0,0.1129,0.43548,0.37097,0.01613,0.06452,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.01667,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.08333,0.05,0.11667,0.01667,0.08333,0,0,0.11667,0.01667,0.08333,0.05,0.01667,0,0,0,0,0,0,0,0.31818,0.01515,0.18182,0.10606,0.18182,0.15152,0.04545,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.0625,0.375,0,0,0.0625,0.125,0.0625,0.1875,0,0,0,0,0,0,0,0,0
FCP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25714,0,0,0,0,0,0,0.51429,0.22857,0,0,0,0,0,0,0,0,0,0,0.12857,0.37143,0,0.37143,0,0,0,0.12857,0,0,0,0,0,0.28788,0,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18182,0,0,0,0,0,0,0,0,0,0.21212,0,0,0,0,0,0,0.28788,0,0,0,0,0,0,0,0,0,0.03125,0.28125,0.1875,0.1875,0,0,0.28125,0,0.03125,0,0,0,0,0,0,0,0.21154,0,0,0,0,0,0.48077,0,0,0.07692,0.21154,0,0,0,0,0,0.01923,0,0,0,0
LCC,0.16667,0,0.52778,0,0,0.27778,0.02778,0,0,0,0,0.77778,0.22222,0,0.26471,0.11765,0,0,0,0,0,0,0,0.02941,0,0,0.14706,0.29412,0.02941,0.05882,0,0,0.05882,0,0,0,0,0,0,0,0.28571,0.14286,0.35714,0,0,0,0,0.21429,0,0.56818,0,0,0.29545,0,0.02273,0.04545,0,0,0,0.06818,0,0,0,0,0,0,0.02941,0,0,0,0.38235,0.58824,0,0,0,0,0,0,0,0,0,0,0,0.06667,0,0.13333,0,0.2,0.03333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333,0,0,0,0,0.16667,0.23333,0.13333,0.06667,0.3,0.06667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIL,0.19565,0,0.67391,0,0,0.13043,0,0,0,0,0,0.64286,0.35714,0,0.16667,0.30952,0,0,0,0,0,0,0.02381,0.16667,0,0,0.02381,0.28571,0,0,0,0,0.02381,0,0,0,0,0.07143,0,0,0.07143,0.14286,0.46429,0.07143,0.07143,0,0,0.10714,0,0.6087,0,0,0.28261,0,0.06522,0,0,0,0,0,0.04348,0,0,0,0,0,0,0.21053,0,0.39474,0.21053,0.15789,0,0.02632,0,0,0,0.29412,0,0,0,0,0,0,0,0.35294,0.11765,0.02941,0,0.02941,0.02941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02941,0,0,0,0.11765,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02273,0,0,0,0.02273,0.02273,0.59091,0.02273,0.25,0,0.02273,0.04545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCB,0.97872,0.02128,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20213,0.58511,0.21277,0,0,0,0,0,0,0,0,0,0.30851,0,0,0.01064,0.45745,0,0.20213,0,0,0,0.02128,0,0.98936,0,0,0,0,0,0,0,0,0.01064,0,0,0,0,0,0,0,0,0,0.01064,0.30851,0,0.41489,0.26596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0.04167,0.85417,0,0.01042,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82292,0.03125,0.11458,0,0.02083,0,0.01042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60526,0.39474,0,0,0,0,0,0,0,0,0,0,0
